time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450250000	14.8419	20.39	4.79264	2.71208	0.478968	radar	2.18619	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6301	20.5065	4.79654	2.72856	0.470711	lidar	0.623401	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3996	20.5892	4.8009	2.76603	0.499691	radar	1.3479	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1577	20.6606	4.807	2.79847	0.506988	lidar	0.826776	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9254	20.7289	4.80891	2.83493	0.530598	radar	0.402622	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6639	20.7855	4.82549	2.87046	0.538488	lidar	2.16252	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.4205	20.8135	4.82602	2.92588	0.595086	radar	2.34779	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1738	20.8562	4.83148	2.95886	0.597917	lidar	0.265968	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9446	20.9132	4.82999	2.98052	0.587186	radar	1.71265	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.728	20.9669	4.81963	3.00099	0.578907	lidar	1.52979	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4842	21.0031	4.82557	3.03003	0.581324	radar	2.71546	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2389	21.0408	4.83315	3.05426	0.575221	lidar	0.312271	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	12.0021	21.0595	4.83202	3.08606	0.584914	radar	0.889042	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.752	21.0347	4.8311	3.1288	0.599569	lidar	1.7887	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.5072	21.0202	4.83114	3.16469	0.606699	radar	1.0671	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.278	21.02	4.82369	3.19115	0.603416	lidar	0.492083	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0284	20.9796	4.82706	3.2315	0.614707	radar	4.17994	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8023	20.9478	4.81582	3.26457	0.618667	lidar	0.422706	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5552	20.9478	4.81758	3.26673	0.560725	radar	5.72095	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2939	20.9702	4.83962	3.2727	0.533665	lidar	3.722	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0557	20.9514	4.83904	3.2917	0.522971	radar	1.00268	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.83935	20.92	4.82234	3.31541	0.5222	lidar	1.42918	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.59866	20.9147	4.81816	3.30989	0.461738	radar	2.28827	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.38555	20.8675	4.79983	3.33558	0.466487	lidar	1.21308	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.15599	20.8288	4.79621	3.35615	0.465395	radar	1.53601	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.89119	20.7902	4.82001	3.37176	0.454777	lidar	1.89667	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.66769	20.7127	4.81408	3.40549	0.4715	radar	4.51508	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.41214	20.6247	4.83399	3.4361	0.477478	lidar	2.8195	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.18416	20.544	4.8345	3.46654	0.49002	radar	0.124821	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.94684	20.4641	4.84173	3.49021	0.488457	lidar	0.198861	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.72981	20.3772	4.83949	3.52523	0.514888	radar	3.50567	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.45526	20.3164	4.87465	3.53282	0.491446	lidar	4.35313	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.22964	20.2174	4.87591	3.55751	0.489924	radar	0.249011	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.97643	20.1372	4.89641	3.56999	0.474574	lidar	1.52888	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.75462	20.0435	4.89378	3.58752	0.464545	radar	0.321829	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.50938	19.9562	4.9091	3.59915	0.450154	lidar	0.980489	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.2938	19.8606	4.90423	3.6178	0.448438	radar	2.54518	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	6.03944	19.7715	4.92651	3.62464	0.429042	lidar	1.93467	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.82808	19.6221	4.93646	3.67058	0.473467	radar	2.59116	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.62442	19.5054	4.92816	3.69185	0.471467	lidar	0.469709	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.42713	19.354	4.9275	3.72806	0.490791	radar	1.64413	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.2028	19.2569	4.93057	3.73357	0.469062	lidar	1.89997	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	5.00032	19.1442	4.91773	3.73984	0.439046	radar	4.08653	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.81585	18.9947	4.90857	3.76851	0.447465	lidar	0.323635	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.61611	18.8439	4.91547	3.79764	0.463329	radar	1.62873	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
